,client_hello_pkt,destination_ip,destination_port,ja3,ja3_digest,source_ip,source_port,timestamp
0,16030100610100005d03015e57b37a07630460ec3de9f7cb66573a6f20c58d7084a7906dda6b1e1c4224a320503bb2bdd3d2893338d1cc37e91627afb2aa053439f78524b521aa881058b339001600040005000a000900640062000300060013001200630100,208.82.238.17,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.0.81,1038,53760.304628
0,16030100610100005d03015e7f3b44ee29890429b79cad38ec92334ce6234046073ff44f6831a1bcdfecae20550007129c94315df90d852ed6bc783801df10c75278e03a52f8c9b3c1daf290001600040005000a000900640062000300060013001200630100,59.37.116.35,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.1.132,1036,53725.966384
0,16030100610100005d03015e58849949e5ab3177a183b7b1a060c8320f99cc3e688ea78df54130855cd9d220eadf5a6a8a80ad87bea512dcad53ef49639d6387cd3285456bda6d4ec1e95b4f001600040005000a000900640062000300060013001200630100,185.86.81.235,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.1.50,1095,53947.046371
0,16030100410100003d03015e56ccf471daf8dcd0751a24321bebd44b54e19b0845960283b8eb382b7ffcae00001600040005000a000900640062000300060013001200630100,217.69.139.110,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.1.65,1032,53705.268838
0,16030100610100005d03015e7e64da386271a9aa1b384384266337a997f63845a0cde69fb41e9a468641f2206dccc8d59e6a2c181671dbf67c345b6c450e847f94cb299ffc6b512a43e3d38d001600040005000a000900640062000300060013001200630100,106.11.62.113,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.1.87,1046,53746.432189
0,16030100410100003d03015ecc80e771daf8dcd0751a24321bebd44b54e19b0845960283b8eb382b7ffcae00001600040005000a000900640062000300060013001200630100,94.100.180.110,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.10.198,1033,53704.313016
0,16030100410100003d03015e583e1e07a703257ffc3ca10430bd934a8b8e9c74feef8761e59ee4bcdfccf000001600040005000a000900640062000300060013001200630100,217.69.139.110,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.10.53,1033,53705.121679
0,16030100410100003d03015ea5e54f040bdd87fbfbe8b58b7ccbcdc127a257cbdea817fb938795cd7dbff100001600040005000a000900640062000300060013001200630100,217.69.139.110,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.10.66,1032,53707.428143
0,16030100410100003d03015e7bea3271daf8dcd0751a24321bebd44b54e19b0845960283b8eb382b7ffcae00001600040005000a000900640062000300060013001200630100,94.100.180.110,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.10.92,1032,53707.474
0,16030100610100005d03015e56d1231f45e5b3d3a89d941de1e22bc1cf54fbe201a0dd73c6c05798438f0f20d8775d842bc910784f5a3f5ca073dbda115d80abff42107b09648190dc1e5ce6001600040005000a000900640062000300060013001200630100,203.208.50.90,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.100.10,1037,53729.279716
0,16030100610100005d03015e7f48572d096522758008a91026d61ca1ce5825ae1e9d6582b93e7eee1758d220ff807294b6c395d53baf9ecc63d3491965c17682751439bde33e0495717f4c51001600040005000a000900640062000300060013001200630100,220.181.38.150,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.100.111,1042,53720.074306
0,16030100610100005d03015e7f4dd91a8fc4c9da8760e858b9ab488a0cb5d5e04635f9f45da7c0270e710d2034f7f2e4e1df09f0c2871522c329bb93aad8ec096219837b3b64293237faacfe001600040005000a000900640062000300060013001200630100,220.181.38.150,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.100.43,1042,53725.718687
0,16030100610100005d03015e56f45c63dd007ed6e77f4fa4981637447b042827b8946602d47844a9f32fe520d52456c663d37e7ca24fffe89740d02badda63bfa5469a2bcb4f3e7802a710b5001600040005000a000900640062000300060013001200630100,113.142.80.146,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.101.0,1043,53748.344516
0,16030100610100005d03015ea48d7ae6ddbe648af5f89e512851b5b4fb601b6e8d9af5725ad010b6e659e120a60615e06404c912a6cb39923850600b733f6c8f1f797f5fd093dd52876e1ff0001600040005000a000900640062000300060013001200630100,123.151.190.161,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.101.53,1034,53710.089457
0,16030300a20100009e03035e57af1f01361ff64c9261789418056e33ff6b57e289429d94f913cb11a9cd2100002a003c002f003d00350005000ac027c013c014c02bc023c02cc024c009c00a00400032006a0038001300040100004bff010001000000001e001c00001967656d6174656b6e696e646f7065726b6173612e636f2e6964000a0006000400170018000b00020100000d0010000e0401050102010403050302030202,101.50.1.27,443,"771,60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4,65281-0-10-11-13,23-24,0",4d7a28d6f2263ed61de88ca66eb011e3,192.168.101.57,49183,1582831578.585747
0,16030100410100003d03015e58a1a683fa1ab78254bbcb393d3fe77d8dddcd65816c833182e60df9a0131700001600040005000a000900640062000300060013001200630100,23.218.96.159,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.102.129,1034,53729.780003
0,16030000610100005d03005e566cd123c0f219f33b8615c6443f1b7e1ae052a98b8b12f0d99c53fff0a4c820a4a463b56a17e8886b6d47d3f67ec91f2a2c92c0a3946b36e4dda9ccfe2ff413001600040005000a000900640062000300060013001200630100,106.120.159.126,443,"768,4-5-10-9-100-98-3-6-19-18-99,,,",35ed9d26feeb821f643139efe2a9a459,192.168.102.215,1049,53766.249629
0,16030100610100005d03015e57a85de5482e42a9395e0a648eb38b368295b5f6bf943ddaeae532f65622012008f2f9168f144835f34bfca3691bb645eae3dd3cd03d47bc9ffa561c87fadb03001600040005000a000900640062000300060013001200630100,203.208.40.62,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.102.239,1035,53715.794376
0,16030100410100003d03015ecbfc1b71daf8dcd0751a24321bebd44b54e19b0845960283b8eb382b7ffcae00001600040005000a000900640062000300060013001200630100,94.100.180.110,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.102.34,1033,53708.006563
0,16030000610100005d03005e583ff8f0b35016cf0e5d46b820df00da54f6416289b3d67e97f561abf81e2a2025d466431bc2023399013dbf45524834610fbebb660b7ddf4c7d71f771e5d707001600040005000a000900640062000300060013001200630100,106.120.159.126,443,"768,4-5-10-9-100-98-3-6-19-18-99,,,",35ed9d26feeb821f643139efe2a9a459,192.168.103.115,1039,53718.715253
0,16030100610100005d03015e7b97e5b8d45bb75afee2d0f6f2373af6cbbc748441a4eeabf4bc4861989fb020aa04efff722416eb9556b4a4b66a409a780c70988923cf05953af37eeb0d0e64001600040005000a000900640062000300060013001200630100,34.102.141.129,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.103.141,1040,53724.307367
0,16030100610100005d03015ea488f092ea6424455177c8fd1199963ca2708bc1eac4feb92c2a041ec8c9cf20976dc9f760df60750da7cfe991ca11a73f818c0ff81d5488e057a1333d88c878001600040005000a000900640062000300060013001200630100,101.89.38.48,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.103.15,1034,53712.197036
0,16030100410100003d03015e56c9ab10f2f4af804df845b930be9801a42b2d5148dd124741faea9eefde6500001600040005000a000900640062000300060013001200630100,203.208.41.87,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.104.0,1036,53752.135902
0,16030100610100005d03015e56fa2c3d97b40a512c777bfa421081ff0239b1a251624f30174183be642ae6201e03768e481eea2f7f61493c36bec7b8b5a92b38797fd8139d3c451413a008d3001600040005000a000900640062000300060013001200630100,117.21.216.80,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.104.129,1086,53783.800405
0,16030100610100005d03015e7d41e7d517723cbc897cc50cb98eadb465fcc8a40aacf582447d881c14becb207fc98a33b64b5611e78cbce515fece011746f30a4b4a1d04288799ebd33bbd2a001600040005000a000900640062000300060013001200630100,143.95.243.35,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.104.183,1048,53750.122715
0,16030100410100003d03015ecfef3a71daf8dcd0751a24321bebd44b54e19b0845960283b8eb382b7ffcae00001600040005000a000900640062000300060013001200630100,217.69.139.110,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.104.23,1032,53705.153604
0,16030100610100005d03015ea5f3aa29718e82e42d7497efd4f7b5b3fb325c6699b9738e58eea6773825e620ffbe7bc0df23367d4748107493da6edf175d53658944e6afbabe6d181bdb83cf001600040005000a000900640062000300060013001200630100,110.81.155.156,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.104.239,1046,53726.537287
0,16030100410100003d03015ecc8a6d4c73c9b730bd2ac54e63d10e9a72460cfcf38686f13ce8f4385b484d00001600040005000a000900640062000300060013001200630100,79.137.94.254,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.105.105,1033,53713.624369
0,16030100410100003d03015e591021040bdd87fbfbe8b58b7ccbcdc127a257cbdea817fb938795cd7dbff100001600040005000a000900640062000300060013001200630100,217.69.139.110,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.106.88,1032,53704.007566
0,16030100610100005d03015ea6f15f802eefef039ae195cbb9866bc4232b6dbd535ddfea3845ad4c95c69620df1a765e15ba594e8bc4daf2d2f03963dfbcf45c88bfe63b40998b4fa5366e17001600040005000a000900640062000300060013001200630100,148.251.123.41,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.107.76,1035,53734.465107
0,16030100410100003d03015e7e08a01ad0594d095324baefdd21cbe5f97a31f799090695e02c683f76ce1500001600040005000a000900640062000300060013001200630100,193.104.215.66,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.107.98,1033,53726.935732
0,16030100610100005d03015e56964798a3e0b53157c2f5b686b0678f6299cd9f2ce6073373c7af1d0489532045d3e2d15e9c2299546422dd6f71bfc0cb50e3766c29391c66adafa4a3ebd2ad001600040005000a000900640062000300060013001200630100,59.37.116.35,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.108.101,1034,53710.866598
0,16030100610100005d03015e55a3ad631d062c82f520c28a705e1041430cca903a22fb84805a07bdef84b6207213381184d68b30ad0b21925b694efcdc1028a820dafb588c26fe17c0355249001600040005000a000900640062000300060013001200630100,122.246.6.206,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.108.126,1047,53716.279236
0,16030100610100005d03015e57b6b0d42aad81d0bf6b0cff17977987b51267dd86d3c526136672bc3ed5ae20c2a91f04111b30357efe6d0b6374faeeab9c0d3b96f2bee9c09391405e781a7a001600040005000a000900640062000300060013001200630100,180.101.49.12,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.108.149,1048,53724.238314
0,16030300920100008e03035e7b83c89be28274113ae773384c02d37f3c0f1a43064e153b9582f2097ffdb400002a003c002f003d00350005000ac027c013c014c02bc023c02cc024c009c00a00400032006a0038001300040100003bff010001000000000e000c00000970726f66616a2e636f000a0006000400170018000b00020100000d0010000e0401050102010403050302030202,78.40.231.125,443,"771,60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4,65281-0-10-11-13,23-24,0",4d7a28d6f2263ed61de88ca66eb011e3,192.168.108.161,49177,1585179776.969628
0,16030100410100003d03015e555f3471daf8dcd0751a24321bebd44b54e19b0845960283b8eb382b7ffcae00001600040005000a000900640062000300060013001200630100,94.100.180.110,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.108.225,1033,53704.530833
0,16030100410100003d03015ea5ece48cb92acb0587d468bff29f8f08df62267131b2b9774bea603e84f06700001600040005000a000900640062000300060013001200630100,217.69.139.110,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.109.101,1032,53733.934849
0,16030300960100009203035e7e8691dbba9914855a3ca1e6eea4c88069fea55b46116b4a1073126195fa5a00002a003c002f003d00350005000ac027c013c014c02bc023c02cc024c009c00a00400032006a0038001300040100003fff0100010000000012001000000d77746669736d7969702e636f6d000a0006000400170018000b00020100000d0010000e0401050102010403050302030202,128.199.228.46,443,"771,60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4,65281-0-10-11-13,23-24,0",4d7a28d6f2263ed61de88ca66eb011e3,192.168.109.132,49177,1585377098.152092
0,16030100410100003d03015ea5f6df71daf8dcd0751a24321bebd44b54e19b0845960283b8eb382b7ffcae00001600040005000a000900640062000300060013001200630100,94.100.180.110,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.109.169,1032,53707.122823
0,16030100410100003d03015e581ea307a703257ffc3ca10430bd934a8b8e9c74feef8761e59ee4bcdfccf000001600040005000a000900640062000300060013001200630100,217.69.139.110,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.109.206,1033,53704.1554
0,16030100410100003d03015e7cfca682d7f3079b81864c65ebe843febd5e675143f93785e28b7852b0d6da00001600040005000a000900640062000300060013001200630100,104.18.88.101,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.109.31,1035,53752.132838
0,16030100410100003d03015e7ba03a71daf8dcd0751a24321bebd44b54e19b0845960283b8eb382b7ffcae00001600040005000a000900640062000300060013001200630100,217.69.139.110,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.109.55,1033,53710.797398
0,16030100610100005d03015ecea18b7aa13497103a8ecb51a3efbcdfc81cba1250102a00c878c05f63ed1c20326ae276e456fbb6a01a2b4172d9facc39123e7aff84c50375fcf7cf7cdab1d6001600040005000a000900640062000300060013001200630100,143.95.243.35,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.11.190,1048,53755.974735
0,16030100610100005d03015e5700dafe7131785222296d1290cbeb94f23df257a0b9f568d2da7b9cb6b1b02059a760e2ccf11ec34781e71c61290eea0f94aea8980ab526bdb7ed965fc6520d001600040005000a000900640062000300060013001200630100,59.37.116.35,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.11.2,1034,53704.824348
0,16030100610100005d03015e7de0f7608b084f46653970873e3a3ee251280a116a08c7d3d89e3e39e0469420379b11a60e784384f3d5487660676f4fe30b46fcbf4d8eccd6dfd3385a30f670001600040005000a000900640062000300060013001200630100,220.181.38.149,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.11.40,1041,53727.275533
0,16030000610100005d03005e55ad946bac4f193b1431887802b47d43044f0a34f403d86becc9008a1d096020e963202f360390c61525be6198ad009f6053618a81b58abce21599bc52ee5bf2001600040005000a000900640062000300060013001200630100,106.120.159.126,443,"768,4-5-10-9-100-98-3-6-19-18-99,,,",35ed9d26feeb821f643139efe2a9a459,192.168.110.47,1046,53807.383686
0,16030100410100003d03015e5838f3040bdd87fbfbe8b58b7ccbcdc127a257cbdea817fb938795cd7dbff100001600040005000a000900640062000300060013001200630100,217.69.139.110,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.111.142,1032,53704.658403
0,16030100410100003d03015ececb2a71daf8dcd0751a24321bebd44b54e19b0845960283b8eb382b7ffcae00001600040005000a000900640062000300060013001200630100,94.100.180.110,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.111.201,1033,53706.97607
0,16030100610100005d03015e7d24c31f545585081e215624fd2eaa300024c38c95e00a519c5eb62e1a4e5d2064e0709e0b40ff8518ecacb4d07fc5a17c7181bba8bc82e868bc65a07f23ca2b001600040005000a000900640062000300060013001200630100,36.25.250.217,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.111.75,1043,53780.574453
0,16030100410100003d03015ea4825d71daf8dcd0751a24321bebd44b54e19b0845960283b8eb382b7ffcae00001600040005000a000900640062000300060013001200630100,217.69.139.110,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.112.171,1032,53707.961679
0,16030100410100003d03015ea5748c71daf8dcd0751a24321bebd44b54e19b0845960283b8eb382b7ffcae00001600040005000a000900640062000300060013001200630100,217.69.139.110,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.112.173,1032,53707.155727
0,16030100610100005d03015ea47403192e951c9e4ce92350a409fe224dbc038194ef01fa4274b835d3c9e3200054d71c16d7592cdfdf364caafa0f0ee18f8f76fdd6a2aab9f4a3c9de80501d001600040005000a000900640062000300060013001200630100,148.251.123.41,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.112.207,1035,53738.27054
0,16030100410100003d03015e5847ca71daf8dcd0751a24321bebd44b54e19b0845960283b8eb382b7ffcae00001600040005000a000900640062000300060013001200630100,217.69.139.110,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.112.28,1033,53704.920735
0,16030100410100003d03015e7f392971daf8dcd0751a24321bebd44b54e19b0845960283b8eb382b7ffcae00001600040005000a000900640062000300060013001200630100,94.100.180.110,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.115.140,1032,53705.963033
0,16030000610100005d03005e7f69f831335254e0005ce0f51fb19c9d044ec386e83cc576dd252422d4e77120386ce9b97cba4356c5636ee3a886dae62fb9f31076fc69d6e8c8f07f963c49c9001600040005000a000900640062000300060013001200630100,106.120.159.126,443,"768,4-5-10-9-100-98-3-6-19-18-99,,,",35ed9d26feeb821f643139efe2a9a459,192.168.115.203,1068,53738.847083
0,16030100410100003d03015e59082b07a703257ffc3ca10430bd934a8b8e9c74feef8761e59ee4bcdfccf000001600040005000a000900640062000300060013001200630100,217.69.139.110,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.115.228,1033,53704.646903
