,client_hello_pkt,destination_ip,destination_port,ja3,ja3_digest,source_ip,source_port,timestamp
0,16030100610100005d03015ef32a04f21f70be0a13ac88333ce2ff1107b0e2b2813316a98cd700afe1bb1620e467cc4ba3344fded916e4ca1991c73444f7a4f7edbbed4268e1a7c5c688a0da001600040005000a000900640062000300060013001200630100,52.7.124.208,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.0.10,1036,53714.490637
0,16030100410100003d03015ee3c1bc10f2f4af804df845b930be9801a42b2d5148dd124741faea9eefde6500001600040005000a000900640062000300060013001200630100,203.208.39.207,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.0.216,1035,53751.702043
0,16030300a8010000a403035ede8082dbba9914855a3ca1e6eea4c88069fea55b46116b4a1073126195fa5a00002a003c002f003d00350005000ac027c013c014c02bc023c02cc024c009c00a00400032006a00380013000401000051ff010001000000001b001900001673637265656e636173742d6f2d6d617469632e636f6d000500050100000000000a0006000400170018000b00020100000d0010000e0401050102010403050302030202,34.195.215.214,443,"771,60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4,65281-0-5-10-11-13,23-24,0",2a458dd9c65afbcf591cd8c2a194b804,192.168.0.26,49177,1591667000.915368
0,16030300c0010000bc03035ef47b77c2a6ef3e60e4a77f0d4cfc648f758c2fc5ce7d8299ac29f6ebb3cb17000034c030c02fc028c027c014c013009f009e009d009c003d003c0035002fc02cc02bc024c023c00ac009006a004000380032000a00130100005f0000001d001b000018736c732e7570646174652e6d6963726f736f66742e636f6d000500050100000000000a0006000400170018000b00020100000d001400120401050102010403050302030202060106030023000000170000ff01000100,13.68.93.109,443,"771,49200-49199-49192-49191-49172-49171-159-158-157-156-61-60-53-47-49196-49195-49188-49187-49162-49161-106-64-56-50-10-19,0-5-10-11-13-35-23-65281,23-24,0",205200cdaac61b110838556b834070d1,192.168.0.37,49446,1593053304.132868
0,16030100410100003d03015ef3c8ac521436b7940b920e9d9c647c7e8163e37c7a073fa71296b7765cbb4100001600040005000a000900640062000300060013001200630100,203.208.40.47,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.1.145,1035,53782.250135
0,16030100410100003d03015edf0689cc1a37146e30bfce0e31f6d5ea06e1f5fbb6a4136f29426e199dd24300001600040005000a000900640062000300060013001200630100,203.208.50.63,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.1.152,1035,53729.943864
0,16030100410100003d03015eec82c7a9cf0f4d54387b595c1a0a6dbbc06b41cdc03756becc354366c5175e00001600040005000a000900640062000300060013001200630100,203.208.50.79,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.1.164,1035,53730.011296
0,16030100410100003d03015eddfa010d4a95993f13921aee1da5be1001767ee893d7eff82300771a506afa00001600040005000a000900640062000300060013001200630100,203.208.39.215,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.1.185,1036,53727.043526
0,16030100410100003d03015ee3943010f2f4af804df845b930be9801a42b2d5148dd124741faea9eefde6500001600040005000a000900640062000300060013001200630100,203.208.39.216,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.1.23,1035,53743.644644
0,16030100410100003d03015ef96d8b9821c9221fd7b38fc3bc861af7cad501168504f5072c78978e08184700001600040005000a000900640062000300060013001200630100,203.208.41.79,443,"769,4-5-10-9-100-98-3-6-19-18-99,,,",de350869b8c85de67a350c8d186f11e6,192.168.1.71,1035,53758.558593
