,destination_ip,destination_port,ja3,ja3_digest,source_ip,source_port,timestamp
0,192.168.0.151,1034,"769,10,",5cd6efb8d804faf03e1462073b729151,83.136.254.57,443,53738.527783
0,192.168.0.183,1034,"769,10,",5cd6efb8d804faf03e1462073b729151,115.159.156.123,443,53716.205987
0,192.168.0.193,1034,"769,10,",5cd6efb8d804faf03e1462073b729151,83.136.254.57,443,53743.534693
0,192.168.0.233,1034,"769,10,",5cd6efb8d804faf03e1462073b729151,115.159.156.123,443,53720.751243
0,192.168.0.67,1040,"769,10,",5cd6efb8d804faf03e1462073b729151,115.223.14.234,443,53726.587978
1,192.168.0.67,1041,"769,5,",9aeeb84942a46257594025306635f0ff,203.119.129.115,443,53729.001229
0,192.168.0.81,1035,"769,10,",5cd6efb8d804faf03e1462073b729151,208.82.238.17,443,53745.190019
0,192.168.1.132,1032,"769,10,",5cd6efb8d804faf03e1462073b729151,59.37.116.35,443,53706.959985
0,192.168.1.136,1043,"769,10,",5cd6efb8d804faf03e1462073b729151,52.84.225.91,443,53764.032965
0,192.168.1.138,1035,"769,10,",5cd6efb8d804faf03e1462073b729151,58.221.28.197,443,53727.153298
0,192.168.1.197,1032,"769,10,",5cd6efb8d804faf03e1462073b729151,123.151.190.161,443,53705.680987
0,192.168.1.29,1034,"769,10,",5cd6efb8d804faf03e1462073b729151,115.159.156.123,443,53716.835975
0,192.168.1.35,1051,"769,10,",5cd6efb8d804faf03e1462073b729151,116.211.136.30,443,53755.001981
0,192.168.1.50,1038,"769,10,",5cd6efb8d804faf03e1462073b729151,185.86.81.235,443,53775.438968
0,192.168.1.55,1041,"769,10,",5cd6efb8d804faf03e1462073b729151,99.84.63.44,443,53755.736972
0,192.168.1.65,1032,"769,4,",53611273a714cb4789c8222932efd5a7,217.69.139.110,443,53705.463448
1,192.168.1.65,1034,"769,10,",5cd6efb8d804faf03e1462073b729151,217.69.139.122,443,53781.486874
0,192.168.1.70,1033,"769,5,",9aeeb84942a46257594025306635f0ff,180.101.49.12,443,53719.872232
0,192.168.1.78,1033,"769,10,",5cd6efb8d804faf03e1462073b729151,14.215.158.24,443,53740.128975
0,192.168.1.87,1039,"769,10,",5cd6efb8d804faf03e1462073b729151,115.231.71.232,443,53739.477976
1,192.168.1.87,1040,"769,5,",9aeeb84942a46257594025306635f0ff,203.119.206.139,443,53744.726245
0,192.168.10.133,1032,"769,10,",5cd6efb8d804faf03e1462073b729151,103.230.236.203,443,53709.601232
0,192.168.10.198,1033,"769,4,",53611273a714cb4789c8222932efd5a7,94.100.180.110,443,53704.588925
0,192.168.10.36,1034,"769,10,",5cd6efb8d804faf03e1462073b729151,83.136.254.57,443,53739.243545
0,192.168.10.47,1039,"769,10,",5cd6efb8d804faf03e1462073b729151,101.89.124.234,443,53718.657967
1,192.168.10.47,1040,"769,5,",9aeeb84942a46257594025306635f0ff,203.119.213.181,443,53720.827967
0,192.168.10.53,1033,"769,4,",53611273a714cb4789c8222932efd5a7,217.69.139.110,443,53705.317666
1,192.168.10.53,1035,"769,10,",5cd6efb8d804faf03e1462073b729151,217.69.139.122,443,53714.914929
0,192.168.10.66,1032,"769,4,",53611273a714cb4789c8222932efd5a7,217.69.139.110,443,53707.636977
1,192.168.10.66,1034,"769,10,",5cd6efb8d804faf03e1462073b729151,217.69.139.122,443,53714.459477
0,192.168.10.92,1032,"769,4,",53611273a714cb4789c8222932efd5a7,94.100.180.110,443,53707.673117
1,192.168.10.92,1035,"769,10,",5cd6efb8d804faf03e1462073b729151,217.69.139.122,443,53748.796168
0,192.168.10.96,1034,"769,10,",5cd6efb8d804faf03e1462073b729151,115.159.156.123,443,53715.049973
0,192.168.100.10,1036,"769,10,",5cd6efb8d804faf03e1462073b729151,203.208.50.90,443,53726.2969
0,192.168.100.111,1038,"769,5,",9aeeb84942a46257594025306635f0ff,220.181.38.149,443,53715.749966
6,192.168.100.111,1124,"769,10,",5cd6efb8d804faf03e1462073b729151,116.211.136.30,443,53755.019976
0,192.168.100.131,1039,"769,10,",5cd6efb8d804faf03e1462073b729151,104.20.21.251,443,53715.6129
0,192.168.100.43,1039,"769,5,",9aeeb84942a46257594025306635f0ff,220.181.38.150,443,53718.564973
0,192.168.100.70,1034,"769,4,",53611273a714cb4789c8222932efd5a7,148.251.123.41,443,53733.728337
0,192.168.100.77,1040,"768,5,",09dc4beaf549afb0edb5ed50da347005,106.120.159.126,443,53719.408278
0,192.168.101.0,1038,"769,10,",5cd6efb8d804faf03e1462073b729151,113.142.80.146,443,53742.153965
0,192.168.101.231,1034,"769,10,",5cd6efb8d804faf03e1462073b729151,173.231.184.117,443,53740.204179
0,192.168.101.235,1032,"769,10,",5cd6efb8d804faf03e1462073b729151,180.188.18.9,443,53710.24498
0,192.168.101.53,1032,"769,10,",5cd6efb8d804faf03e1462073b729151,123.151.190.161,443,53706.915564
0,192.168.101.57,49183,"771,49171,65281-11",042b018de1d862323f09d5767e4068d5,101.50.1.27,443,1582831578.817195
0,192.168.102.12,1034,"769,10,",5cd6efb8d804faf03e1462073b729151,115.159.156.123,443,53716.627973
0,192.168.102.129,1034,"769,10,",5cd6efb8d804faf03e1462073b729151,23.218.96.159,443,53730.673983
0,192.168.102.134,1034,"769,5,",9aeeb84942a46257594025306635f0ff,180.101.49.11,443,53725.696971
0,192.168.102.177,1034,"769,10,",5cd6efb8d804faf03e1462073b729151,115.159.156.123,443,53712.943962
0,192.168.102.181,1034,"769,10,",5cd6efb8d804faf03e1462073b729151,115.159.156.123,443,53709.839231
0,192.168.102.215,1041,"768,5,",09dc4beaf549afb0edb5ed50da347005,106.120.159.126,443,53733.356222
