,destination_ip,destination_port,ja3,ja3_digest,source_ip,source_port,timestamp
0,192.168.0.10,1033,"769,10,",5cd6efb8d804faf03e1462073b729151,52.7.124.208,443,53708.174976
0,192.168.0.138,1034,"769,10,",5cd6efb8d804faf03e1462073b729151,37.228.108.132,443,53711.700244
0,192.168.0.216,1035,"769,10,",5cd6efb8d804faf03e1462073b729151,203.208.39.207,443,53751.753237
0,192.168.0.26,49177,"771,49191,65281-11",a4cc547f75a117e7e973bd04ad9bec50,34.195.215.214,443,1591667001.168843
1,192.168.0.26,49180,"771,49191,0-11-65281",273379be6549aaf5bfcaf4e747a839fc,13.225.163.120,443,1591667038.50075
0,192.168.1.145,1035,"769,10,",5cd6efb8d804faf03e1462073b729151,203.208.40.47,443,53782.347983
0,192.168.1.152,1035,"769,10,",5cd6efb8d804faf03e1462073b729151,203.208.50.63,443,53729.999767
0,192.168.1.164,1035,"769,10,",5cd6efb8d804faf03e1462073b729151,203.208.50.79,443,53730.068555
0,192.168.1.185,1036,"769,10,",5cd6efb8d804faf03e1462073b729151,203.208.39.215,443,53727.099313
0,192.168.1.23,1035,"769,10,",5cd6efb8d804faf03e1462073b729151,203.208.39.216,443,53743.699981
0,192.168.1.71,1035,"769,10,",5cd6efb8d804faf03e1462073b729151,203.208.41.79,443,53758.641462
0,192.168.1.72,1034,"769,10,",5cd6efb8d804faf03e1462073b729151,37.228.108.133,443,53717.902985
0,192.168.1.75,1034,"769,4,",53611273a714cb4789c8222932efd5a7,78.108.120.31,443,53706.085959
1,192.168.1.75,1036,"769,10,",5cd6efb8d804faf03e1462073b729151,14.0.44.198,443,53710.944969
0,192.168.1.88,1032,"769,10,",5cd6efb8d804faf03e1462073b729151,138.68.122.210,443,53736.093405
0,192.168.10.163,1036,"769,10,",5cd6efb8d804faf03e1462073b729151,203.208.40.47,443,53734.817469
0,192.168.10.166,49161,"771,49199,0-65281-11",699a80bdb17efe157c861f92c5bf5d1d,193.112.225.195,443,1592367104.254994
0,192.168.10.18,1035,"769,10,",5cd6efb8d804faf03e1462073b729151,203.208.41.95,443,53736.720985
0,192.168.10.20,1036,"769,10,",5cd6efb8d804faf03e1462073b729151,203.208.39.215,443,53752.721982
0,192.168.100.125,1036,"769,10,",5cd6efb8d804faf03e1462073b729151,203.208.39.207,443,53753.29298
0,192.168.100.174,1034,"769,10,",5cd6efb8d804faf03e1462073b729151,37.58.57.230,443,53736.579266
0,192.168.100.26,1036,"769,10,",5cd6efb8d804faf03e1462073b729151,203.208.50.95,443,53742.001971
0,192.168.100.3,1033,"769,10,",5cd6efb8d804faf03e1462073b729151,123.151.179.162,443,53707.86798
0,192.168.100.62,1036,"769,10,",5cd6efb8d804faf03e1462073b729151,221.121.152.91,443,53715.818976
3,192.168.100.62,1044,"769,53,",ab1e32eeaf70ee94c0af00f08d126891,221.121.152.91,443,53723.155972
0,192.168.100.75,1036,"769,10,",5cd6efb8d804faf03e1462073b729151,203.208.50.111,443,53750.969859
0,192.168.100.89,1034,"769,10,",5cd6efb8d804faf03e1462073b729151,37.228.108.132,443,53720.949356
0,192.168.101.207,1035,"769,10,",5cd6efb8d804faf03e1462073b729151,203.208.39.223,443,53739.448939
0,192.168.101.40,1050,"771,49200,65281-11-35",e35df3e00ca4ef31d42b34bebaa2f86e,195.77.129.106,443,53708.188315
3,192.168.101.40,1067,"769,10,",5cd6efb8d804faf03e1462073b729151,195.77.129.106,443,53712.669309
0,192.168.101.63,1036,"769,10,",5cd6efb8d804faf03e1462073b729151,14.0.44.198,443,53709.24997
0,192.168.102.116,1035,"769,10,",5cd6efb8d804faf03e1462073b729151,52.234.215.129,443,53708.168965
0,192.168.102.151,1033,"769,10,",5cd6efb8d804faf03e1462073b729151,31.169.105.68,443,53712.205942
0,192.168.102.166,1035,"769,10,",5cd6efb8d804faf03e1462073b729151,203.208.39.215,443,53748.459971
0,192.168.102.241,1034,"769,10,",5cd6efb8d804faf03e1462073b729151,82.145.216.20,443,53717.904097
