timestamp,source_ip,source_port,destination_ip,destination_port,ja3_digest,ja3s_digest
53711.700244,37.228.108.132,443,192.168.0.138,1034,,5cd6efb8d804faf03e1462073b729151
53716.857407,107.167.110.217,443,192.168.0.138,1035,,5cd6efb8d804faf03e1462073b729151
53718.096565,23.36.192.183,443,192.168.0.138,1036,,5cd6efb8d804faf03e1462073b729151
53751.702043,192.168.0.216,1035,203.208.39.207,443,de350869b8c85de67a350c8d186f11e6,
53751.753237,203.208.39.207,443,192.168.0.216,1035,,5cd6efb8d804faf03e1462073b729151
53751.822703,192.168.0.216,1036,203.208.39.207,443,de350869b8c85de67a350c8d186f11e6,
53751.880971,203.208.39.207,443,192.168.0.216,1036,,5cd6efb8d804faf03e1462073b729151
1591667000.915368,192.168.0.26,49177,34.195.215.214,443,2a458dd9c65afbcf591cd8c2a194b804,
1591667001.168843,34.195.215.214,443,192.168.0.26,49177,,a4cc547f75a117e7e973bd04ad9bec50
1591667038.372747,192.168.0.26,49180,13.225.163.120,443,2a458dd9c65afbcf591cd8c2a194b804,
1591667038.500750,13.225.163.120,443,192.168.0.26,49180,,273379be6549aaf5bfcaf4e747a839fc
1593053304.132868,192.168.0.37,49446,13.68.93.109,443,205200cdaac61b110838556b834070d1,
1593053304.379270,13.68.93.109,443,192.168.0.37,49446,,dd638b91d791c45c599b83addf922232
53782.250135,192.168.1.145,1035,203.208.40.47,443,de350869b8c85de67a350c8d186f11e6,
53782.262692,192.168.1.145,1036,203.208.40.47,443,de350869b8c85de67a350c8d186f11e6,
53782.347983,203.208.40.47,443,192.168.1.145,1035,,5cd6efb8d804faf03e1462073b729151
53782.356968,203.208.40.47,443,192.168.1.145,1036,,5cd6efb8d804faf03e1462073b729151
53810.732581,192.168.1.145,1039,203.208.40.47,443,de350869b8c85de67a350c8d186f11e6,
53810.816975,203.208.40.47,443,192.168.1.145,1039,,5cd6efb8d804faf03e1462073b729151
53812.030804,192.168.1.145,1040,203.208.40.47,443,de350869b8c85de67a350c8d186f11e6,
53812.128965,203.208.40.47,443,192.168.1.145,1040,,5cd6efb8d804faf03e1462073b729151
53729.943864,192.168.1.152,1035,203.208.50.63,443,de350869b8c85de67a350c8d186f11e6,
53729.964666,192.168.1.152,1036,203.208.50.47,443,de350869b8c85de67a350c8d186f11e6,
53729.999767,203.208.50.63,443,192.168.1.152,1035,,5cd6efb8d804faf03e1462073b729151
53730.028974,203.208.50.47,443,192.168.1.152,1036,,5cd6efb8d804faf03e1462073b729151
53741.139631,192.168.1.152,1045,203.208.50.47,443,de350869b8c85de67a350c8d186f11e6,
53741.186941,192.168.1.152,1046,203.208.50.63,443,de350869b8c85de67a350c8d186f11e6,
53741.199445,203.208.50.47,443,192.168.1.152,1045,,5cd6efb8d804faf03e1462073b729151
53741.246956,203.208.50.63,443,192.168.1.152,1046,,5cd6efb8d804faf03e1462073b729151
53746.778911,192.168.1.152,1049,203.208.50.63,443,de350869b8c85de67a350c8d186f11e6,
53746.844962,203.208.50.63,443,192.168.1.152,1049,,5cd6efb8d804faf03e1462073b729151
53747.747509,192.168.1.152,1051,203.208.50.47,443,de350869b8c85de67a350c8d186f11e6,
53747.813969,203.208.50.47,443,192.168.1.152,1051,,5cd6efb8d804faf03e1462073b729151
53749.133061,192.168.1.152,1054,203.208.50.63,443,de350869b8c85de67a350c8d186f11e6,
53749.194231,203.208.50.63,443,192.168.1.152,1054,,5cd6efb8d804faf03e1462073b729151
53750.368868,192.168.1.152,1056,203.208.50.47,443,de350869b8c85de67a350c8d186f11e6,
53750.426968,203.208.50.47,443,192.168.1.152,1056,,5cd6efb8d804faf03e1462073b729151
53761.040084,192.168.1.152,1063,203.208.50.47,443,de350869b8c85de67a350c8d186f11e6,
53761.100341,203.208.50.47,443,192.168.1.152,1063,,5cd6efb8d804faf03e1462073b729151
53765.031365,192.168.1.152,1065,203.208.50.47,443,de350869b8c85de67a350c8d186f11e6,
53765.096968,203.208.50.47,443,192.168.1.152,1065,,5cd6efb8d804faf03e1462073b729151
53768.558702,192.168.1.152,1068,203.208.50.47,443,de350869b8c85de67a350c8d186f11e6,
53768.625162,203.208.50.47,443,192.168.1.152,1068,,5cd6efb8d804faf03e1462073b729151
53769.709294,192.168.1.152,1070,203.208.50.47,443,de350869b8c85de67a350c8d186f11e6,
53769.774479,203.208.50.47,443,192.168.1.152,1070,,5cd6efb8d804faf03e1462073b729151
53730.011296,192.168.1.164,1035,203.208.50.79,443,de350869b8c85de67a350c8d186f11e6,
53730.022313,192.168.1.164,1036,203.208.50.79,443,de350869b8c85de67a350c8d186f11e6,
53730.068555,203.208.50.79,443,192.168.1.164,1035,,5cd6efb8d804faf03e1462073b729151
