index,source_ip,ja3_digest,计数项:source_ip,fp_num
1,192.168.0.10,de350869b8c85de67a350c8d186f11e6,9,943
3,192.168.0.216,de350869b8c85de67a350c8d186f11e6,2,943
9,192.168.1.145,de350869b8c85de67a350c8d186f11e6,4,943
11,192.168.1.152,de350869b8c85de67a350c8d186f11e6,12,943
13,192.168.1.164,de350869b8c85de67a350c8d186f11e6,8,943
15,192.168.1.185,de350869b8c85de67a350c8d186f11e6,8,943
17,192.168.1.23,de350869b8c85de67a350c8d186f11e6,2,943
19,192.168.1.71,de350869b8c85de67a350c8d186f11e6,8,943
21,192.168.1.75,de350869b8c85de67a350c8d186f11e6,3,943
23,192.168.1.88,de350869b8c85de67a350c8d186f11e6,5,943
25,192.168.10.163,de350869b8c85de67a350c8d186f11e6,8,943
29,192.168.10.18,de350869b8c85de67a350c8d186f11e6,8,943
31,192.168.10.20,de350869b8c85de67a350c8d186f11e6,2,943
33,192.168.100.125,de350869b8c85de67a350c8d186f11e6,2,943
35,192.168.100.26,de350869b8c85de67a350c8d186f11e6,12,943
39,192.168.100.75,de350869b8c85de67a350c8d186f11e6,2,943
45,192.168.101.207,de350869b8c85de67a350c8d186f11e6,8,943
51,192.168.101.63,de350869b8c85de67a350c8d186f11e6,1,943
53,192.168.102.116,de350869b8c85de67a350c8d186f11e6,1,943
55,192.168.102.151,de350869b8c85de67a350c8d186f11e6,3,943
57,192.168.102.166,de350869b8c85de67a350c8d186f11e6,2,943
59,192.168.103.175,de350869b8c85de67a350c8d186f11e6,2,943
61,192.168.103.206,de350869b8c85de67a350c8d186f11e6,9,943
63,192.168.103.230,de350869b8c85de67a350c8d186f11e6,8,943
65,192.168.103.55,de350869b8c85de67a350c8d186f11e6,12,943
67,192.168.103.56,de350869b8c85de67a350c8d186f11e6,9,943
70,192.168.103.57,de350869b8c85de67a350c8d186f11e6,1,943
72,192.168.104.184,de350869b8c85de67a350c8d186f11e6,2,943
74,192.168.104.188,de350869b8c85de67a350c8d186f11e6,2,943
78,192.168.104.31,de350869b8c85de67a350c8d186f11e6,12,943
82,192.168.105.148,de350869b8c85de67a350c8d186f11e6,6,943
86,192.168.105.192,de350869b8c85de67a350c8d186f11e6,2,943
88,192.168.105.227,de350869b8c85de67a350c8d186f11e6,10,943
92,192.168.105.82,de350869b8c85de67a350c8d186f11e6,8,943
94,192.168.106.130,de350869b8c85de67a350c8d186f11e6,12,943
96,192.168.106.158,de350869b8c85de67a350c8d186f11e6,12,943
98,192.168.106.160,de350869b8c85de67a350c8d186f11e6,2,943
102,192.168.106.251,de350869b8c85de67a350c8d186f11e6,8,943
104,192.168.107.201,de350869b8c85de67a350c8d186f11e6,2,943
106,192.168.107.242,de350869b8c85de67a350c8d186f11e6,4,943
108,192.168.107.251,de350869b8c85de67a350c8d186f11e6,8,943
112,192.168.107.56,de350869b8c85de67a350c8d186f11e6,4,943
114,192.168.107.75,de350869b8c85de67a350c8d186f11e6,10,943
116,192.168.108.178,de350869b8c85de67a350c8d186f11e6,12,943
118,192.168.108.180,de350869b8c85de67a350c8d186f11e6,2,943
120,192.168.108.194,de350869b8c85de67a350c8d186f11e6,12,943
124,192.168.108.201,de350869b8c85de67a350c8d186f11e6,2,943
126,192.168.108.24,de350869b8c85de67a350c8d186f11e6,8,943
128,192.168.108.29,de350869b8c85de67a350c8d186f11e6,8,943
130,192.168.108.53,de350869b8c85de67a350c8d186f11e6,2,943
134,192.168.108.91,de350869b8c85de67a350c8d186f11e6,9,943
136,192.168.108.93,de350869b8c85de67a350c8d186f11e6,5,943
140,192.168.109.19,de350869b8c85de67a350c8d186f11e6,12,943
144,192.168.109.227,de350869b8c85de67a350c8d186f11e6,3,943
146,192.168.109.30,de350869b8c85de67a350c8d186f11e6,2,943
148,192.168.11.54,de350869b8c85de67a350c8d186f11e6,2,943
150,192.168.110.121,de350869b8c85de67a350c8d186f11e6,4,943
152,192.168.110.146,de350869b8c85de67a350c8d186f11e6,12,943
154,192.168.110.206,de350869b8c85de67a350c8d186f11e6,10,943
156,192.168.111.181,de350869b8c85de67a350c8d186f11e6,4,943
158,192.168.111.222,de350869b8c85de67a350c8d186f11e6,2,943
160,192.168.111.223,de350869b8c85de67a350c8d186f11e6,12,943
162,192.168.111.82,de350869b8c85de67a350c8d186f11e6,12,943
166,192.168.112.158,de350869b8c85de67a350c8d186f11e6,89,943
168,192.168.112.160,de350869b8c85de67a350c8d186f11e6,2,943
172,192.168.113.155,de350869b8c85de67a350c8d186f11e6,2,943
174,192.168.113.217,de350869b8c85de67a350c8d186f11e6,12,943
176,192.168.113.31,de350869b8c85de67a350c8d186f11e6,2,943
180,192.168.113.68,de350869b8c85de67a350c8d186f11e6,2,943
184,192.168.114.202,de350869b8c85de67a350c8d186f11e6,12,943
186,192.168.114.207,de350869b8c85de67a350c8d186f11e6,3,943
188,192.168.114.3,de350869b8c85de67a350c8d186f11e6,4,943
190,192.168.114.47,de350869b8c85de67a350c8d186f11e6,2,943
194,192.168.114.97,de350869b8c85de67a350c8d186f11e6,8,943
196,192.168.115.188,de350869b8c85de67a350c8d186f11e6,2,943
198,192.168.115.219,de350869b8c85de67a350c8d186f11e6,10,943
200,192.168.115.23,de350869b8c85de67a350c8d186f11e6,12,943
202,192.168.116.133,de350869b8c85de67a350c8d186f11e6,2,943
204,192.168.116.189,de350869b8c85de67a350c8d186f11e6,10,943
206,192.168.116.24,de350869b8c85de67a350c8d186f11e6,2,943
208,192.168.116.247,de350869b8c85de67a350c8d186f11e6,2,943
210,192.168.116.54,de350869b8c85de67a350c8d186f11e6,1,943
214,192.168.117.125,de350869b8c85de67a350c8d186f11e6,2,943
220,192.168.118.167,de350869b8c85de67a350c8d186f11e6,4,943
224,192.168.119.228,de350869b8c85de67a350c8d186f11e6,9,943
228,192.168.119.33,de350869b8c85de67a350c8d186f11e6,10,943
232,192.168.12.107,de350869b8c85de67a350c8d186f11e6,4,943
236,192.168.12.164,de350869b8c85de67a350c8d186f11e6,2,943
238,192.168.12.236,de350869b8c85de67a350c8d186f11e6,8,943
240,192.168.12.24,de350869b8c85de67a350c8d186f11e6,4,943
